Lake Ketchum,WA,48.282,-122.348,894,1840112551
West Pasco,WA,46.2497,-119.1684,1233,1840113398
Des Moines,WA,47.3914,-122.3154,31238,1840097037
Davenport,WA,47.6551,-118.1519,1708,1840096227
Seattle,WA,47.6211,-122.3244,3643765,1840097260
Lake Stickney,WA,47.8709,-122.2596,9667,1840116373
Carnation,WA,47.6446,-121.9048,2164,1840097830
Everett,WA,47.9524,-122.167,110079,1840097064
Warden,WA,46.9674,-119.0522,2716,1840097319
Palouse,WA,46.9103,-117.0751,1055,1840097839
Terrace Heights,WA,46.6024,-120.4482,7849,1840113561
Clarkston,WA,46.4152,-117.0502,7396,1840097014
Elmer City,WA,48.0,-118.9534,247,1840097058
Mossyrock,WA,46.5305,-122.4887,789,1840097652
Summit View,WA,47.1343,-122.3468,7421,1840116415
Suquamish,WA,47.7238,-122.583,4108,1840113530
Newcastle,WA,47.5303,-122.1633,11681,1840097199
Stanwood,WA,48.2451,-122.3426,7161,1840097278
Kapowsin,WA,46.9727,-122.2272,391,1840116365
Donald,WA,46.4737,-120.3923,0,1840116350
Altoona,WA,46.2699,-123.6145,61,1840116326
South Prairie,WA,47.1373,-122.094,443,1840097742
Eschbach,WA,46.667,-120.6337,377,1840112127
Indianola,WA,47.7566,-122.5142,3520,1840112445
Reardan,WA,47.6698,-117.8778,582,1840096288
Cowiche,WA,46.6729,-120.7154,960,1840116346
Sunday Lake,WA,48.2306,-122.2684,666,1840116416
Rocky Point,WA,47.5882,-122.6668,1449,1840116403
Burbank,WA,46.1991,-118.9728,3398,1840111970
Lakeland North,WA,47.3374,-122.2814,12487,1840112570
Granite Falls,WA,48.0874,-121.9704,6565,1840097552
Camas,WA,45.6003,-122.4306,23331,1840097004
Skokomish,WA,47.3298,-123.1579,755,1840112742
Cusick,WA,48.3328,-117.2961,217,1840097483
Rosalia,WA,47.2363,-117.3769,567,1840096291
Longbranch,WA,47.2257,-122.7739,3236,1840116377
Granger,WA,46.3455,-120.1926,3542,1840096247
North Fort Lewis,WA,47.1221,-122.5966,5009,1840116387
Tampico,WA,46.5325,-120.8727,465,1840116418
Tukwila,WA,47.4748,-122.2727,20144,1840096309
Cathlamet,WA,46.2056,-123.3835,553,1840096215
Wenatchee,WA,47.4338,-120.3286,71512,1840097799
Port Ludlow,WA,47.9101,-122.7006,2642,1840113062
Castle Rock,WA,46.2717,-122.9057,2833,1840097008
Glacier,WA,48.8903,-121.9323,102,1840112325
Index,WA,47.8212,-121.5556,205,1840097582
Republic,WA,48.6477,-118.7326,1062,1840097712
Bellevue,WA,47.5953,-122.155,144444,1840096983
Malo,WA,48.7997,-118.6119,72,1840118431
Anderson Island,WA,47.1577,-122.7037,1292,1840116328
University Place,WA,47.2148,-122.546,33401,1840097306
Montesano,WA,47.0102,-123.5858,8494,1840096952
Rainier,WA,46.8917,-122.6867,2126,1840096286
Fords Prairie,WA,46.7461,-123.0029,1812,1840112259
Roy,WA,46.9971,-122.5423,820,1840097250
Oso,WA,48.2836,-121.9237,212,1840112979
Marblemount,WA,48.5378,-121.4346,0,1840112208
Elk Plain,WA,47.0448,-122.3671,14280,1840112113
Burlington,WA,48.4677,-122.3298,8783,1840097001
Bangor Base,WA,47.7227,-122.7146,6358,1840111847
Beaux Arts Village,WA,47.5854,-122.2009,326,1840096982
Port Gamble Tribal Community,WA,47.8487,-122.5571,920,1840116395
Olympia,WA,47.0417,-122.8959,196078,1840097879
East Wenatchee,WA,47.4172,-120.2809,13983,1840097509
Addy,WA,48.3588,-117.8372,96,1840116868
Minnehaha,WA,45.6577,-122.6204,11767,1840112826
Bryn Mawr-Skyway,WA,47.4949,-122.2411,18365,1840111962
Satsop,WA,47.0223,-123.4737,572,1840113240
Riverbend,WA,47.4651,-121.7491,2241,1840113144
Easton,WA,47.2405,-121.1733,395,1840112082
Silverdale,WA,47.6663,-122.6828,20664,1840112738
Napavine,WA,46.5844,-122.9007,1893,1840096272
Lochsloy,WA,48.0597,-122.0411,3188,1840112630
Ellensburg,WA,46.9994,-120.547,23471,1840097516
McKenna,WA,46.9365,-122.55,978,1840116379
Fairfield,WA,47.3848,-117.1748,616,1840096236
Northwest Stanwood,WA,48.2623,-122.3501,144,1840116390
Mansfield,WA,47.8119,-119.638,339,1840096264
Duvall,WA,47.7354,-121.9725,7813,1840097045
Markham,WA,46.9155,-123.9814,238,1840112216
Waller,WA,47.2035,-122.3699,8064,1840113365
Longview,WA,46.146,-122.963,65619,1840096261
Richland,WA,46.2826,-119.2937,56243,1840097386
Rosedale,WA,47.3453,-122.6368,4459,1840116405
Vancouver,WA,45.6367,-122.597,175673,1840097874
Bethel,WA,47.4874,-122.6175,3673,1840116329
Custer,WA,48.9143,-122.6397,149,1840112640
Lofall,WA,47.8113,-122.6564,2211,1840116376
Fairwood,WA,47.4467,-122.143,19531,1840112026
Winlock,WA,46.4907,-122.9342,1354,1840096316
Sumner,WA,47.219,-122.2338,10093,1840097283
Cottage Lake,WA,47.7466,-122.0755,23941,1840111730
Puget Island,WA,46.1742,-123.3829,899,1840116397
Woods Creek,WA,47.8821,-121.8982,5826,1840113463
Washougal,WA,45.5812,-122.3433,15711,1840097320
Sisco Heights,WA,48.1188,-122.1076,2810,1840116410
Canterwood,WA,47.3766,-122.6022,3220,1840116338
Wapato,WA,46.4434,-120.4215,7686,1840097318
Lower Elochoman,WA,46.2185,-123.3698,160,1840116378
Lake Goodwin,WA,48.1387,-122.2804,3879,1840112549
Banks Lake South,WA,47.6315,-119.276,270,1840108357
Kent,WA,47.3887,-122.2128,128458,1840097835
Bickleton,WA,46.0056,-120.3081,67,1840111885
Ryderwood,WA,46.375,-123.0441,332,1840116886
Cavalero,WA,47.9845,-122.0746,5284,1840116339
La Conner,WA,48.3925,-122.4945,3475,1840097901
Martha Lake,WA,47.848,-122.2326,18566,1840112219
George,WA,47.0845,-119.8598,507,1840096244
Snohomish,WA,47.9277,-122.097,10089,1840097872
Eatonville,WA,46.8682,-122.2698,3038,1840097510
Carson,WA,45.7353,-121.8219,2688,1840112015
Almira,WA,47.7105,-118.9369,276,1840096206
Nooksack,WA,48.9276,-122.3211,1560,1840096274
Mount Vista,WA,45.7373,-122.6315,8525,1840112867
High Bridge,WA,47.7968,-122.0281,3028,1840116363
Lakeland South,WA,47.2784,-122.2831,13982,1840112571
Kenmore,WA,47.7532,-122.2459,22867,1840097123
Neah Bay,WA,48.3612,-124.6115,994,1840097196
Cliffdell,WA,46.9213,-121.042,80,1840116344
Port Angeles East,WA,48.1041,-123.3695,3627,1840113059
Burien,WA,47.4762,-122.3393,51671,1840097897
Taholah,WA,47.3283,-124.2728,714,1840113543
Wauna,WA,47.386,-122.6694,4412,1840116422
Connell,WA,46.6624,-118.8405,5360,1840096222
Disautel,WA,48.345,-119.2299,22,1840116349
Santiago,WA,47.2975,-124.2327,26,1840116406
Orting,WA,47.0966,-122.2111,7983,1840097214
Colville,WA,48.5454,-117.8986,5064,1840097466
Marysville,WA,48.081,-122.1558,166541,1840097165
Walla Walla,WA,46.0669,-118.3365,57779,1840097316
Zillah,WA,46.4083,-120.2717,3125,1840097346
Curlew,WA,48.8777,-118.6045,149,1840116873
Key Center,WA,47.3376,-122.7505,3810,1840116368
Hoodsport,WA,47.402,-123.1542,331,1840116875
Spanaway,WA,47.0979,-122.4233,30528,1840112777
Mattawa,WA,46.7364,-119.9019,5122,1840096266
Clallam Bay,WA,48.2536,-124.2579,366,1840116872
Prairie Ridge,WA,47.1443,-122.1408,12733,1840113070
Rockport,WA,48.4854,-121.6065,76,1840113155
Stansberry Lake,WA,47.3814,-122.7154,2747,1840116414
Copalis Beach,WA,47.1205,-124.1722,559,1840111719
Frederickson,WA,47.0914,-122.3594,21737,1840112289
Asotin,WA,46.3371,-117.0433,1295,1840096208
Mill Creek,WA,47.8633,-122.2034,20832,1840097896
Bell Hill,WA,48.055,-123.087,875,1840111875
Green Bluff,WA,47.819,-117.277,544,1840116359
Clayton,WA,48.0013,-117.5612,361,1840096219
Puyallup,WA,47.1794,-122.2902,41001,1840097880
Hockinson,WA,45.7301,-122.4833,5267,1840112416
Lake McMurray,WA,48.3129,-122.2317,134,1840112555
Bucoda,WA,46.7968,-122.868,583,1840097868
Issaquah,WA,47.542,-122.0444,37487,1840097116
Odessa,WA,47.3326,-118.6895,876,1840096278
Hazel Dell,WA,45.6797,-122.6553,21449,1840118061
McMillin,WA,47.1286,-122.2374,1673,1840116380
Wilbur,WA,47.7583,-118.711,839,1840096314
Skamokawa Valley,WA,46.3004,-123.4243,300,1840116411
Centerville,WA,45.754,-120.9081,109,1840112045
Nile,WA,46.8368,-120.9455,98,1840116386
Spokane Valley,WA,47.6625,-117.2346,97847,1840108471
Woodland,WA,45.9149,-122.7503,6531,1840097340
Lewisville,WA,45.8127,-122.5144,1503,1840112613
Vantage,WA,46.9453,-119.9923,18,1840113346
Gorst,WA,47.5237,-122.7057,257,1840116357
Lake Morton-Berrydale,WA,47.3325,-122.103,11201,1840112557
Ione,WA,48.7402,-117.4223,459,1840097583
Bothell West,WA,47.8056,-122.24,20472,1840116331
Vaughn,WA,47.355,-122.7773,342,1840116421
Black Diamond,WA,47.313,-122.0181,4436,1840097425
Ferndale,WA,48.8525,-122.5893,14026,1840097069
Acme,WA,48.7146,-122.2293,183,1840111754
White Center,WA,47.5086,-122.348,15300,1840113418
Fairchild AFB,WA,47.6187,-117.6485,2960,1840112141
Pacific,WA,47.2611,-122.2507,7184,1840097218
Glenwood,WA,46.0228,-121.2926,157,1840116596
Colfax,WA,46.9032,-117.3394,2811,1840097876
Silvana,WA,48.2018,-122.2459,0,1840112736
Forks,WA,47.9526,-124.3904,4274,1840097531
Kirkland,WA,47.6997,-122.2041,88630,1840097127
Okanogan,WA,48.3671,-119.5784,2571,1840097855
Kayak Point,WA,48.1387,-122.3342,1693,1840116366
Union Hill-Novelty Hill,WA,47.6788,-122.0284,22109,1840113323
Outlook,WA,46.3311,-120.0923,300,1840116391
Lake Tapps,WA,47.2305,-122.1696,13091,1840116374
Cohassett Beach,WA,46.8656,-124.1054,712,1840111709
Tonasket,WA,48.7077,-119.4412,1126,1840097766
Sunnyside,WA,46.3159,-120.0058,17927,1840097873
Lakeview,WA,47.3755,-119.5043,881,1840112577
Carbonado,WA,47.0805,-122.0536,701,1840097440
Pullman,WA,46.734,-117.1669,33276,1840097870
Blyn,WA,48.013,-122.9897,22,1840111919
Brinnon,WA,47.6689,-122.9249,703,1840111952
Friday Harbor,WA,48.5324,-123.0655,2407,1840096241
Orchards,WA,45.6888,-122.5305,21299,1840112974
Purdy,WA,47.3938,-122.6114,1087,1840116398
Tekoa,WA,47.2247,-117.0732,809,1840096307
Tanner,WA,47.4813,-121.6921,905,1840113548
Thorp,WA,47.0656,-120.6709,297,1840113262
Artondale,WA,47.3024,-122.639,12937,1840111821
Liberty Lake,WA,47.6687,-117.1032,9893,1840097149
Cheney,WA,47.4901,-117.5789,12421,1840097849
Sammamish,WA,47.6019,-122.0419,64548,1840096293
Cle Elum,WA,47.1946,-120.9553,3768,1840097462
Fern Prairie,WA,45.637,-122.3963,2611,1840116353
Waverly,WA,47.338,-117.2312,108,1840097324
Lakewood,WA,47.1628,-122.5299,60296,1840097141
Lake Marcel-Stillwater,WA,47.6926,-121.9152,1220,1840112554
Central Park,WA,46.9705,-123.7018,2741,1840112048
Bridgeport,WA,48.0063,-119.6737,2555,1840096214
Raft Island,WA,47.3293,-122.6686,341,1840116401
Larch Way,WA,47.8429,-122.2527,4117,1840116375
Lake Bosworth,WA,48.0532,-121.9812,654,1840112545
Barberton,WA,45.7136,-122.6114,6719,1840111848
Sekiu,WA,48.2637,-124.3012,50,1840116887
Brier,WA,47.7922,-122.2734,6884,1840096997
Spokane,WA,47.6671,-117.433,403043,1840097276
